씬ID(sceneId),선택지번호(choiceIndex),선택지텍스트(text),반응강조캐릭터(reactionActiveCharacters),반응하는캐릭터(reactionSpeaker),반응텍스트(reactionText),표시캐릭터1(reactionChar_left),표시캐릭터1표정(reactionEmotion_left),표시캐릭터2(reactionChar_center),표시캐릭터2표정(reactionEmotion_center),표시캐릭터3(reactionChar_right),표시캐릭터3표정(reactionEmotion_right),다음씬ID(nextSceneId),affectioncharacter1,affectionValue1,affectioncharacter2,affectionValue2,표시조건(show_if),명령어(command)
scene17_b_choice,2,"오랜 기간 러시아의 지배를 받아온 폴란드 사람들이 들고일어났으니, 성공하기를 바라요.",liszt,liszt,"상당히 동정적이시군요. 폴란드 사람들은 고결하고 용맹하죠. 러시아에 악감정이 있는 것은 아니지만, 저도 봉기가 성공적이기를 바랍니다.",liszt,default,,,,,scene17_b_b,liszt,1,,,,
scene17_b_choice,3,취지에는 동감하지만 좀 더 평화적인 방법이 있었다면 좋았을 거라 생각하고 있어요. ,liszt,liszt,동의합니다. 어떤 상황에서든 평화적인 해결책이 최우선되어야 인류의 화합이 한 발짝 더 가까워질 테니까요.,liszt,미소,,,,,scene17_b_c,liszt,1,,,,
scene18_b_choice,1,왈츠 한 곡이 이렇게 짧았던가요? 아쉽네요,liszt,liszt,"아쉬우면 한 곡 더 춰 주시겠습니까? 물론 농담이에요, 아름다운 레이디가 또 다른 매력적인 신사와 춤출 기회를 뺏을 생각은 없습니다.",liszt,미소,,,,,scene19_b_a,,,,,,
scene18_b_choice,2,다음 번에는 발을 덜 밟을 수 있도록 기술을 더 연마해 오도록 하세요,,,,,,,,,,scene19_b_b,liszt,1,,,,
scene20_b_choice,1,즐거웠어요,,narrator,당신은 미소를 지으며 펀치 한 잔을 목 너머로 삼킨다. 리스트는 조금 과했지만 과한 재미가 있는 사람이었다.,szymanowska,무도회디폴트,,,,,scene21_b,liszt,1,,,,
scene20_b_choice,2,별 일 없었어요,,narrator,당신은 어깨를 으쓱한다. 특별히 즐거울 것도 없지만 특별히 나쁠 것도 없는 시간이었다.,szymanowska,무도회디폴트,,,,,scene21_b,,,,,,
scene12_c_choice,1,의견이 확고하시네요. 저라면 좀 더 조심해서 말하겠어요.,liszt,liszt,그렇게 조심스러울 것 없어요. 어차피 당신 말을 듣는 건 나뿐인데.,liszt,default,,,,,scene12_c_a_choice,liszt,-1,,,,
scene12_c_choice,2,"완전히 동감해요, 이토록 몰개성하고 무가치한 음악은 예술이라 부를 수 없죠.",liszt,liszt,이런 곳에서 저와 동의하는 분을 만날 줄은 몰랐군요!,liszt,심취,,,,,scene12_c_b,liszt,1,,,,
scene12_c_a_choice,1,그렇긴 하죠. 자기 의견이 없는 사람은 매력이 없긴 해요.,liszt,liszt,안전함을 추구하는 사람들은 아무런 변화도 만들어낼 수 없는 법이지 않습니까?,liszt,default,,,,,scene12_c_a_a,liszt,1,,,,
scene12_c_a_choice,2,글쎄요… 언제나 그런 건 아니죠.,liszt,liszt,"조심성이 참으로 많으시군요! 하긴, 이런 시대에는 베시에르 양과 같은 분이 더 어울릴지도 모르겠습니다.",liszt,웃음,,,,,scene12_c_a_b,liszt,-1,,,,
scene14_c_choice,1,반드시 진보하는 것만이 답일까요?,liszt,liszt,흐음… 일단 난 그렇게 생각합니다. 지금까지 역사는 인간을 더욱 풍요롭게 만드는 방향으로 발전해왔죠.,liszt,default,,,,,scene14_c_a,mendelssohn,1,,,,
scene14_c_choice,2,하지만 그렇게 진보하기 위해서는 치열한 노력이 필요하겠죠. ,liszt,liszt,"하하하, 현명한 말씀이십니다. 아무 노력도 없이 진보만을 기대하는 것은 어리석은 일이죠.",liszt,미소,,,,,scene15_c_choice,liszt,1,,,,
scene15_c_choice,1,얼마 정도의 관심은 있습니다.,liszt,liszt,저도 그곳에서 오고가는 이야기들이 상당히 흥미롭다고 생각하고 있습니다. 다른 것보다도 예술이 수행하는 역할에 대한 견해가 인상깊더군요.,liszt,미소,,,,,scene15_c_a_choice,liszt,1,,,,
scene15_c_choice,2, 딱히 흥미를 느끼지는 못해요.,liszt,liszt,"아아, 그렇군요. 숙녀분께 좀 어려운 이야기였으려나요? 이거 죄송해지네요.",liszt,default,,,,,scene17_c,mendelssohn,1,,,,
scene15_c_a_choice,1,예술에 별다른 역할이 필요한가요? 아름다운 것 그 자체로 예술은 그 기능을 다하고 있다고 생각하는데요.,liszt,liszt,"아아, 그런 입장이시군요. 베시에르 양의 주장도 그 근거가 아주 없는 건 아닙니다만 내 생각은 조금 다릅니다.",liszt,default,,,,,scene16_c_a,,,,,,
scene15_c_a_choice,2,"예술은 인간의 정신을 교화하고 고양시키며, 도덕적인 인격을 함양하는 데 도움을 주죠.",liszt,liszt,그것 또한 맞는 말이라고 생각합니다. 거기에 굳이 조금 더 사견을 덧붙여 본다면...,liszt,default,,,,,scene16_c_a,liszt,1,,,,
scene15_c_a_choice,3,예술은 신과 소통하는 통로이자 우리의 현실과 연결되어 영향을 주고받는다고 생각해요.,liszt,liszt,"신과 소통하는 통로… 신과 소통하는 통로, 라! 참으로 적절한 말씀입니다. 너무나 정확한 단어로 표현해 주셨네요!",liszt,심취,,,,,scene16_c_a,liszt,2,,,,
scene16_c_a_choice,1,언젠가는 대중이 당신을 따라오게 될 거예요.,liszt,liszt,당신의 말에 리스트의 얼굴에 금방이라도 부서질 듯 엷은 미소가 떠올랐다. ,liszt,씁쓸,,,,,scene16_c_a_a,,,,,,
scene16_c_a_choice,2,연주자의 어쩔 수 없는 숙명이죠.,liszt,liszt,리스트는 애써 미소를 지으며 고개를 끄덕였다. ,liszt,씁쓸,,,,,scene17_c,liszt,-1,,,,
scene16_c_a_choice,3,연주자도 창조를 하는 사람이니 원숭이라고 스스로를 깎아내리지 말아요.,liszt,liszt,리스트는 입꼬리를 끌어올리며 고개를 끄덕였다. 표정에는 묘한 안도와 체념이 섞여 있었다.,liszt,씁쓸,,,,,scene16_c_a_c,liszt,1,,,,
scene17_c_choice,1,어느 쪽이든 빨리 결론이 나기를 바라요. 국내의 불안정이 최소화되었으면 좋겠거든요. ,liszt,liszt,"흐으음, 그런 입장이시군요.",liszt,default,,,,,scene18_c,liszt,-1,,,,
scene17_c_choice,2,"오랜 기간 러시아의 지배를 받아온 폴란드 사람들이 들고일어났으니, 성공하기를 바라요.",liszt,liszt,"상당히 동정적이시군요. 폴란드 사람들은 고결하고 용맹하죠. 러시아에 악감정이 있는 것은 아니지만, 저도 봉기가 성공적이기를 바랍니다.",liszt,default,,,,,scene17_c_b,liszt,1,,,,
scene17_c_choice,3,취지에는 동감하지만 좀 더 평화적인 방법이 있었다면 좋았을 거라 생각하고 있어요. ,liszt,liszt,동의합니다. 어떤 상황에서든 평화적인 해결책이 최우선되어야 인류의 화합이 한 발짝 더 가까워질 테니까요.,liszt,미소,,,,,scene17_c_c,liszt,1,,,,
scene18_c_choice,1,왈츠 한 곡이 이렇게 짧았던가요? 아쉽네요,liszt,liszt,"아쉬우면 한 곡 더 춰 주시겠습니까? 물론 농담이에요, 아름다운 레이디가 또 다른 매력적인 신사와 춤출 기회를 뺏을 생각은 없습니다.",liszt,미소,,,,,scene19_c_a,,,,,,
scene18_c_choice,2,다음 번에는 발을 덜 밟을 수 있도록 기술을 더 연마해 오도록 하세요,,,,,,,,,,scene19_c_b,liszt,1,,,,
scene20_c_choice,1,즐거웠어요,,narrator,당신은 미소를 지으며 펀치 한 잔을 목 너머로 삼킨다. 리스트는 조금 과했지만 과한 재미가 있는 사람이었다.,szymanowska,무도회디폴트,,,,,scene21_c,liszt,1,,,,
scene20_c_choice,2,별 일 없었어요,,narrator,당신은 어깨를 으쓱한다. 특별히 즐거울 것도 없지만 특별히 나쁠 것도 없는 시간이었다.,szymanowska,무도회디폴트,,,,,scene21_c,,,,,,
scene12_d_choice,1,분명 기뻐하실 거예요. 잘 전달해 드리도록 할게요.,mendelssohn,mendelssohn,부인이 선생님 이야기를 몇 번 하신 모양이네요.,mendelssohn,default,,,,,scene13_d_choice,mendelssohn,1,,,,
scene12_d_choice,2,"괴테 '선생님' 이라니, 그 대문호 분을 퍽 친근하게 부르시네요.",mendelssohn,mendelssohn,제가 어릴 적부터 알고 지냈던 분이라서 그렇습니다.,mendelssohn,default,,,,,scene13_d_choice,,,,,,
scene13_d_choice,1,파우스트,mendelssohn,mendelssohn,1부를 읽어보셨군요. 인간의 자유 의지와 구원에 관한 흥미로운 소설이죠. ,mendelssohn,default,,,,,scene14_d_a,liszt,1,,,,
scene13_d_choice,2,젊은 베르테르의 슬픔,mendelssohn,mendelssohn,공전의 히트였죠. 한때 책 속 푸른색 코트와 노란 조끼가 저희 동네에서도 유행했던 기억이 나네요. ,mendelssohn,default,,,,,scene14_d_b,,,,,,
scene13_d_choice,3,안 읽어봤어요,mendelssohn,mendelssohn,그럴 수 있죠. 저도 모든 프랑스 작가들의 책을 다 읽는 건 아니니까요. ,mendelssohn,default,,,,,scene14_d_c,mendelssohn,-1,,,,
scene13_d_choice,4,읽어봤지만 제 취향이 아니더군요,mendelssohn,narrator,당신의 말에 멘델스존이 입꼬리가 올라가는 것을 참으려는 듯 아랫입술을 꽉 깨문다.,mendelssohn,default,,,,,scene14_d_d,mendelssohn,1,,,,
scene14_d_b_choice,1,그렇다기에는 그렇게 말씀하시는 본인도 섬세한 미인 축이신걸요,mendelssohn,mendelssohn,"무, 무슨 말씀을 그렇게… 과분한 칭찬입니다.",mendelssohn,홍조,,,,,scene14_d_b_a,,,,,,
scene14_d_b_choice,2,저도 우울하고 병약한 미인보다는 미소가 아름답고 다정한 미인이 더 취향이라서요,mendelssohn,mendelssohn,취향이 상당히 확고하시네요. 건강한 취향이신 것 같아 다행입니다.,mendelssohn,미소,,,,,scene15_d,mendelssohn,1,,,,
scene14_d_c_choice,1,위고,mendelssohn,mendelssohn,에르나니' 에 이어서 '파리의 노트르담' 으로 큰 성공을 거두었다죠? 흥미로운 작품들이에요.,mendelssohn,default,,,,,scene14_d_c_a,mendelssohn,-1,,,,
scene14_d_c_choice,2,루소,mendelssohn,mendelssohn,"계몽시대의 고전을 제게 추천해 주시는군요. 저도 루소의 저작이라면 몇 권 정도 읽어 보았는데, 베시에르 양의 의견이 궁금하네요. ",mendelssohn,default,,,,,scene14_d_c_b,,,,,,
scene14_d_c_choice,3,발자크,mendelssohn,mendelssohn,그 작가는 처음 들어보는 것 같네요. 어떤 작가인지 궁금한데요?,mendelssohn,default,,,,,scene14_d_c_c,,,,,,
scene14_d_c_choice,4,가장 좋은 작가는 고전 문학 작가들이죠,mendelssohn,mendelssohn,그 말에는 동의할 수밖에 없네요. 고전이라는 것이 괜히 고전인 것이 아니니까요.,mendelssohn,미소,,,,,scene14_d_c_d,mendelssohn,1,,,,
scene14_d_d_choice,1,성공하신 것 같은데요?,mendelssohn,mendelssohn,"과분한 칭찬을 해주시는군요! 베시에르 양, 오늘 처음 만난 사람의 인품을 춤 한 곡으로 평가해서는 안 됩니다.",mendelssohn,웃음,,,,,scene14_d_d_a,,,,,,
scene14_d_d_choice,2,아직 좀 더 갈고닦으셔야겠어요. ,mendelssohn,mendelssohn,당연한 일입니다. 인간이라면 모름지기 언제나 노력해야 하는 법이죠. ,mendelssohn,default,,,,,scene14_d_d_b,mendelssohn,1,,,,
scene15_d_choice,1,잘 받아주신 덕에 괜찮아요. 균형감각이 참 좋으시네요.,mendelssohn,mendelssohn,별말씀을요. 칭찬은 감사히 받겠습니다. ,mendelssohn,default,,,,,scene15_d_e,,,,,,
scene15_d_choice,2,덕분에요. 제가 더 조심했어야 하는데 죄송해요.,mendelssohn,mendelssohn,아닙니다. 누구라도 할 수 있는 실수인걸요.,mendelssohn,젠틀,,,,,scene15_d_e,mendelssohn,1,,,,
scene15_d_a_choice,1,멘델스존 씨와 춤추는 게 이렇게 즐거울 줄은 몰랐네요,mendelssohn,mendelssohn,"춤을 평소 좋아하지 않으시기 때문인가요, 아니면 제가 재미없을 것이라 생각하셨기 때문인가요?",mendelssohn,미소,,,,,scene15_d_a,mendelssohn,1,,,,
scene15_d_a_choice,2,왈츠 한 곡이 이렇게 짧았던가요? 아쉽네요,mendelssohn,mendelssohn,저도 아쉽군요. 또 다른 무도회에서 만나면 그때도 감히 춤을 청해도 괜찮을까요?,mendelssohn,default,,,,,scene16_d,,,,,,
scene16_d_choice,1,즐거웠어요,,,당신은 미소를 지으며 고개를 끄덕인다. 멘델스존은 춤을 잘 추기도 했지만 말도 잘 통하는 상대였다. ,szymanowska,무도회디폴트,,,,,scene17_d,mendelssohn,1,,,,
scene16_d_choice,2,그냥 그랬어요,,,당신은 어깨를 으쓱한다. 특별히 즐거울 것도 없지만 특별히 나쁠 것도 없는 시간이었다.,szymanowska,무도회디폴트,,,,,scene17_d,,,,,,
scenejan_1_choice,1,"아, 윽… 저는 별로… 그렇게 안 궁금한데요.",szymanowska,szymanowska,"이모 봐서 한 번만 같이 가보자, 응?",szymanowska,무도회디폴트,,,,,,,,,,,
scenejan_1_choice,2,저 이미 그거 스포 다 당해서 정말 괜찮은데…,szymanowska,szymanowska,"그으래, 무슨 내용인데? 이것 봐, 말 못 하네.",szymanowska,무도회디폴트,,,,,,,,,,,
scenejan_1_choice,3,사실 이미 다른 사람이랑 보기로 해서…,szymanowska,szymanowska,"어머, 얘가 어디서 거짓말이야. 만날 사람 없는 거 다 아는데.",szymanowska,무도회디폴트,,,,,,,,,,,
scenejan_1_choice,4,음…날도 추운데 그냥 집에 있으면 안 될까요?,szymanowska,szymanowska,그런 애가 매일 도서관 나들이를 가니?,szymanowska,무도회디폴트,,,,,,,,,,,
scenejan_1_choice,5,안 내키는데 이모가 그렇게까지 말씀하신다면 어쩔 수 없이…,szymanowska,szymanowska,갔다가 재미없으면 바로 나오면 되니까 너무 시무룩해 하지 마. 또 재미있을 수도 있잖니?,szymanowska,무도회디폴트,,,,,,,,,,,
scenejan_1_choice,6,다음 이벤트로 스킵 (개발자용),,,,,,,,,,scenejan2_1,,,,,,
scenejan_2_choice,1,굳이 개입하지 않고 오페라를 즐기러 간다.,,narrator,당신은 자리를 뜬다. 멋대로 넘겨짚었다가 괜히 긁어 부스럼이 될 것 같았다.,,,,,,,scenejan_4_b,,,,,,
scenejan_2_choice,2,좀 주제넘은 것 같지만 멘델스존에게 말을 걸어 본다.,,me,멘델스존 씨!,,,,,,,scenejan_3,mendelssohn,1,,,,
scenejan_3_choice,1,"네, 함께 왔는데 부인께서 너무 인기쟁이셔서 인사하고 다니느라 지치네요.",mendelssohn,mendelssohn,인맥이 넓은 분들 옆에 있으면 좀 피곤해지기도 하죠…,mendelssohn,default,,,,,scenejan_4_a,mendelssohn,1,,,,
scenejan_3_choice,2,…괜찮아요?,mendelssohn,mendelssohn,지금은 그냥…적당히 장단 좀 맞춰주세요. 부탁드립니다.,mendelssohn,default,,,,,scenejan_4_a,,,,,,
scenejan_4_a_choice,1,난 그 사람 마음에 안 들어요. 어딘가 간사하게 생겼어요. ,mendelssohn,mendelssohn,아하하! 간사하게 생겼다고요. 그럼 마이어베어와 닮았다는 소리를 자주 듣는 저도 간사하게 생겼다 생각하시나요?,mendelssohn,default,,,,,scenejan_5_a,mendelssohn,1,,,,
scenejan_4_a_choice,2,난 그 사람 마음에 안 들어요. 돈으로 모든 걸 해결하려고 하는 것 같아요.,mendelssohn,mendelssohn,그런 소문이 있긴 했죠. 사실이라면 결코 명예로운 일은 못 될 테고요.,mendelssohn,default,,,,,scenejan_5_b,mendelssohn,2,,,,
scenejan_4_a_choice,3,인심이 좋은 사람이네요. 좀 과해 보이긴 해도.,mendelssohn,mendelssohn,예…그렇죠. 붙임성도 좋고 머리도 잘 돌아가는 분이시죠.,mendelssohn,default,,,,,scenejan_5_c,,,,,,
scenejan_4_a_choice,4,"친척이었군요, 어쩐지 멘델스존 씨와 좀 닮았다 했어요.",mendelssohn,mendelssohn,…하아. 또 그 소리를 듣네요. 내가 진짜 콱 머리를 밀어버리든가 해야지…,mendelssohn,default,,,,,scenejan_5_d,,,,,,
scenejan_5_b_choice,1,잘 지내보고 싶나보죠 뭐.,mendelssohn,mendelssohn,역시 그러려나요. 내가 너무 꼬인 걸지도 모르겠네요…,mendelssohn,default,,,,,scenejan_6_b,mendelssohn,-2,,,,
scenejan_5_b_choice,2,"글쎄요, 그래도 불편하면 굳이 안 친하게 지내도 될 것 같은데요.",mendelssohn,mendelssohn,"음, 그렇게 말해줘서 고마워요. 그런 이야기 해주는 사람은 처음이네요. 다들 그래도 잘 지내보랬거든요.",mendelssohn,default,,,,,scenejan_6_b,,,,,,
scenejan_6_b_choice,1,그러는 멘델스존 씨는? 숙녀에게 한 마디쯤 져주셔야 예의죠.,mendelssohn,mendelssohn,이렇게 뛰어난 위트를 가진 분과의 대화에서 일부러 한 발 물러나는 것이야말로 즐거운 대화에 대한 무례 아니겠어요.,mendelssohn,default,,,,,scenejan_7_b,mendelssohn,1,,,,
scenejan_6_b_choice,2,지는 사람 잘못이죠. 세상에 지고 싶어하는 사람이 있나요?,mendelssohn,,,mendelssohn,default,,,,,scenejan_8_b,mendelssohn,1,,,,
scenejan_6_b_choice,3,그래서 불편하셨나요?,mendelssohn,mendelssohn,"아뇨, 아뇨. 그럴 리가요. 즐거웠습니다.",mendelssohn,default,,,,,scenejan_8_b,,,,,,
scenejan_6_b_choice,4,불편하셨다면 사과드려요. ,mendelssohn,mendelssohn,"아뇨, 아뇨. 사과하실 필요 없습니다. 즐거웠습니다.",mendelssohn,default,,,,,scenejan_10_b,,,,,,
