씬ID(id),씬종류(type),장소ID(place),다음씬ID(nextSceneId),컷씬이미지(cutsceneImage),엔딩호감도체크(checkAffection),배경음악(backgroundMusic)
scenejan_17_b,normal,hallway,scenejan_20_b,,,SymphonieFantastique.mp3
scenejan_18_b,normal,hallway,scenejan_20_b,,,SymphonieFantastique.mp3
scenejan_19_b,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_19_b_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_20_b,normal,hallway,scenejan_22_b,,,SymphonieFantastique.mp3
scenejan_21_b,normal,hallway,scenejan_22_b,,,SymphonieFantastique.mp3
scenejan_22_b,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_22_b_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_23_b,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_23_b_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_24_b,normal,hallway,scenejan_4,,,SymphonieFantastique.mp3
scenejan_5_c,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_5_c_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_6_c,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_7_c,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_7_c_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_8_c,normal,hallway,scenejan_11_c,,,SymphonieFantastique.mp3
scenejan_9_c,normal,hallway,scenejan_11_c,,,SymphonieFantastique.mp3
scenejan_10_c,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_10_c_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_11_c,normal,hallway,scenejan_13_c,,,SymphonieFantastique.mp3
scenejan_12_c,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_13_c,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_13_c_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_14_c,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_14_c_choice,choice,hallway,,,,SymphonieFantastique.mp3
scenejan_15_c,normal,hallway,,,,SymphonieFantastique.mp3
scenejan_16_c,normal,hallway,scenejan_6_d,,,SymphonieFantastique.mp3
scenejan_5_d,normal,hallway,scenejan_4_b,,,SymphonieFantastique.mp3
scenejan_4_b,normal,opera,,,,SymphonieFantastique.mp3
scenejan_6_d,normal,opera,,,,SymphonieFantastique.mp3
scenejan_6_d_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_7_d,normal,opera,,,,SymphonieFantastique.mp3
scenejan_8_d,normal,opera,,,,SymphonieFantastique.mp3
scenejan_8_d_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_9_d,normal,opera,,,,SymphonieFantastique.mp3
scenejan_9_d_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_4,normal,opera,,,,SymphonieFantastique.mp3
scenejan_4_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_5_e,normal,opera,,,,SymphonieFantastique.mp3
scenejan_5_f,normal,opera,,,,SymphonieFantastique.mp3
scenejan_6,normal,opera,,,,SymphonieFantastique.mp3
scenejan_7,normal,opera,,,,SymphonieFantastique.mp3
scenejan_7_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_8_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_9,normal,opera,scenejan_15,,,SymphonieFantastique.mp3
scenejan_10,normal,opera,scenejan_15,,,SymphonieFantastique.mp3
scenejan_11,normal,opera,scenejan_14,,,SymphonieFantastique.mp3
scenejan_12,normal,opera,,,,SymphonieFantastique.mp3
scenejan_12_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_13,normal,opera,,,,SymphonieFantastique.mp3
scenejan_14,normal,opera,,,,SymphonieFantastique.mp3
scenejan_15,normal,opera,,,,SymphonieFantastique.mp3
scenejan_15_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_16,normal,opera,scenejan_19,,,SymphonieFantastique.mp3
scenejan_17,normal,opera,scenejan_19,,,SymphonieFantastique.mp3
scenejan_18,normal,opera,scenejan_21,,,SymphonieFantastique.mp3
scenejan_19,normal,opera,,,,SymphonieFantastique.mp3
scenejan_19_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_20,normal,opera,,,,SymphonieFantastique.mp3
scenejan_21,normal,opera,,,,SymphonieFantastique.mp3
scenejan_21_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_22,normal,opera,,,,SymphonieFantastique.mp3
scenejan_22_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_23,normal,opera,scenejan_29,,,SymphonieFantastique.mp3
scenejan_24,normal,opera,,,,SymphonieFantastique.mp3
scenejan_25,normal,opera,,,,SymphonieFantastique.mp3
scenejan_25_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_26,normal,opera,,,,SymphonieFantastique.mp3
scenejan_26_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_27,normal,opera,scenejan_29,,,SymphonieFantastique.mp3
scenejan_28,normal,opera,,,,SymphonieFantastique.mp3
scenejan_29,normal,opera,,,,SymphonieFantastique.mp3
scenejan_30,normal,opera,,,,SymphonieFantastique.mp3
scenejan_30_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_31,normal,opera,,,,SymphonieFantastique.mp3
scenejan_32,normal,opera,,,,SymphonieFantastique.mp3
scenejan_32_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_33,normal,opera,,,,SymphonieFantastique.mp3
scenejan_33_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_34,normal,opera,,,,SymphonieFantastique.mp3
scenejan_34_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_35,normal,opera,,,,SymphonieFantastique.mp3
scenejan_36,normal,opera,,,,SymphonieFantastique.mp3
scenejan_36_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_37,normal,opera,,,,SymphonieFantastique.mp3
scenejan_37_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_38,normal,opera,scenejan_40,,,SymphonieFantastique.mp3
scenejan_39,normal,opera,scenejan_40,,,SymphonieFantastique.mp3
scenejan_40,normal,opera,,,,SymphonieFantastique.mp3
scenejan_41,normal,opera,,,,SymphonieFantastique.mp3
scenejan_41_choice,choice,opera,,,,SymphonieFantastique.mp3
scenejan_42,normal,carriage,scenejan_51,,,SymphonieFantastique.mp3
scenejan_43,normal,snow,,,,SymphonieFantastique.mp3
scenejan_43_choice,choice,snow,,,,SymphonieFantastique.mp3
scenejan_44,normal,snow,scenejan_44_a,,,SymphonieFantastique.mp3
scenejan_44_a,normal,carriage,scenejan_51,,,SymphonieFantastique.mp3
scenejan_45,normal,snow,,,,SymphonieFantastique.mp3
scenejan_46,normal,snow,,,,SymphonieFantastique.mp3
scenejan_46_choice,choice,snow,,,,SymphonieFantastique.mp3
scenejan_47,normal,snow,scenejan_49,,,SymphonieFantastique.mp3
scenejan_48,normal,carriage,scenejan_51,,,SymphonieFantastique.mp3
scenejan_49,normal,carriage,,,,SymphonieFantastique.mp3
scenejan_50,normal,house,,,,SymphonieFantastique.mp3
scenejan_51,normal,house,scenejan2_1,,,
scenejan2_1,normal,house,,,,
scenejan2_1_choice,choice,house,,,,
scenejan2_2,normal,house,,,,
scenejan2_2_choice,choice,house,,,,
scenejan2_3,normal,ballroom,,,,
scenejan2_3_choice,choice,ballroom,,,,
scenejan2_4,normal,ballroom,,,,
scenejan2_4_choice,choice,ballroom,,,,
scenejan2_5,normal,ballroom,scenejan2_20,,,
scenejan2_6,normal,ballroom,scenejan2_20,,,
scenejan2_7,normal,ballroom,scenejan2_20,,,
scenejan2_8,normal,ballroom,,,,
scenejan2_8_choice,choice,ballroom,,,,
scenejan2_9,normal,carriage,,,,
scenejan2_9_choice,choice,carriage,,,,
scenejan2_10,normal,vertgalant,,,,
scenejan2_10_choice,choice,vertgalant,,,,
scenejan2_11,normal,vertgalant,,,,
scenejan2_11_choice,choice,vertgalant,,,,
scenejan2_12,normal,vertgalant,,,,
scenejan2_13,normal,vertgalant,,,,
scenejan2_13_choice,choice,vertgalant,,,,
scenejan2_14,normal,vertgalant,,,,
scenejan2_15,normal,vertgalant,,,,
scenejan2_15_choice,choice,vertgalant,,,,
scenejan2_16,normal,vertgalant,,,,
scenejan2_16_choice,choice,vertgalant,,,,
scenejan2_17,normal,vertgalant,,,,
scenejan2_17_choice,choice,vertgalant,,,,
scenejan2_18,normal,carriage,scenefeb_lxgx,,,
scenejan2_20,normal,palaisroyal,,,,
scenejan2_20_choice,choice,palaisroyal,,,,
scenejan2_21,normal,palaisroyal,,,,
scenejan2_21_choice,choice,palaisroyal,,,,
scenejan2_22,normal,palaisroyal,,,,
scenejan2_23,normal,palaisroyal,,,,
scenejan2_23_choice,choice,palaisroyal,,,,
scenejan2_24,normal,palaisroyal,,,,
scenejan2_25,normal,palaisroyal,,,,
scenejan2_25_choice,choice,palaisroyal,,,,
scenejan2_26,normal,palaisroyal,scenejan2_28,,,
scenejan2_27,normal,palaisroyal,scenejan2_28,,,
scenejan2_28,normal,palaisroyal,,,,
scenejan2_28_choice,choice,palaisroyal,,,,
scenejan2_29,normal,palaisroyal,scenejan2_32,,,
scenejan2_30,normal,palaisroyal,scenejan2_32,,,
scenejan2_31,normal,palaisroyal,scenejan2_32,,,
scenejan2_32,normal,palaisroyal,,,,
scenejan2_32_choice,choice,palaisroyal,,,,
scenejan2_33,normal,palaisroyal,,,,
scenejan2_34,normal,palaisroyal,,,,
scenejan2_34_choice,choice,palaisroyal,,,,
scenejan2_35,normal,palaisroyal,,,,
scenejan2_35_choice,choice,palaisroyal,,,,
scenejan2_36,normal,palaisroyal,,,,
scenejan2_36_choice,choice,palaisroyal,,,,
scenejan2_37,normal,palaisroyal,scenefeb_lxgx,,,
scenejan2_38,normal,casino,,,,
scenejan2_38_choice,choice,casino,,,,
scenejan2_39,normal,casino,scenejan2_41,,,
scenejan2_40,normal,casino,scenejan2_41,,,
scenejan2_41,normal,casino,,,,
scenejan2_41_choice,choice,casino,,,,
scenejan2_42,normal,casino,scenejan2_45,,,
scenejan2_43,normal,casino,scenejan2_45,,,
scenejan2_44,normal,casino,scenejan2_45,,,
scenejan2_42_2,normal,casino,scenejan2_45,,,
scenejan2_43_2,normal,casino,scenejan2_45,,,
scenejan2_44_2,normal,casino,scenejan2_45,,,
scenejan2_45,normal,casino,,,,
scenejan2_45_choice,choice,casino,,,,
scenejan2_46,normal,casino,,,,
scenejan2_47_1,normal,casino,,,,
scenejan2_46_choice,choice,casino,,,,
scenedice_2,normal,casino,,,,
scenedice_3,normal,casino,,,,
scenedice_4,normal,casino,,,,
scenedice_5,normal,casino,,,,
scenedice_6,normal,casino,,,,
scenedice_7,normal,casino,,,,
scenedice_8,normal,casino,,,,
scenedice_9,normal,casino,,,,
scenedice_10,normal,casino,,,,
scenedice_11,normal,casino,,,,
scenedice_12,normal,casino,,,,
scenejan2_46_1,normal,casino,,,,
scenejan2_47,normal,casino,,,,
scenejan2_47_choice,choice,casino,,,,
scenejan2_48,normal,casino,scenejan2_50,,,
scenejan2_49,normal,casino,,,,
scenejan2_50,normal,casino,,,,
scenejan2_50_choice,choice,casino,,,,
scenejan2_51,normal,street,,,,
scenejan2_51_choice,choice,street,,,,
scenejan2_56,normal,street,scenejan2_56_choice,,,
scenejan2_52,normal,street,,,,
scenejan2_52_choice,choice,street,,,,
scenejan2_53,normal,street,scenejan2_55_2,,,
scenejan2_54,normal,street,scenejan2_55,,,
scenejan2_55_2,normal,house,scenefeb_logo,,,
scenejan2_55,normal,house,scenefeb_lxgo,,,
scenejan2_57,normal,street,scenejan2_57_choice,,,
scenejan2_58,normal,street,,,,
scenejan2_58_choice,choice,street,,,,
scenejan2_59,normal,street,scenejan2_63,,,
scenejan2_60,normal,street,scenejan2_63,,,
scenejan2_61,normal,street,scenejan2_63,,,
scenejan2_62,normal,street,scenejan2_63,,,
scenejan2_63,normal,street,,,,
scenejan2_63_choice,choice,street,,,,
scenejan2_64,normal,street,,,,
scenejan2_65,normal,street,,,,
scenejan2_66,normal,street,,,,
scenejan2_66_choice,choice,street,,,,
scenejan2_67,normal,street,scenejan2_69,,,
scenejan2_68,normal,street,scenejan2_69,,,
scenejan2_69,normal,street,,,,
scenejan2_69_choice,choice,street,,,,
scenejan2_70,normal,street,scenejan2_72,,,
scenejan2_71,normal,street,scenejan2_72,,,
scenejan2_72,normal,street,,,,
scenejan2_72_choice,choice,street,,,,
scenejan2_73,normal,street,scenejan2_76_choice,,,
scenejan2_74,normal,street,scenejan2_76_choice,,,
scenejan2_75,normal,street,,,,
scenejan2_75_choice,choice,street,,,,
scenejan2_76_choice,choice,street,,,,
scenejan2_77,normal,street,scenefeb_lxgx,,,
scenejan2_77_2,normal,street,scenefeb_lxgo,,,
scenejan2_78,normal,street,,,,
scenejan2_78_choice,choice,street,,,,
scenejan2_79,normal,street,scenejan2_80,,,
scenejan2_80,normal,street,,,,
scenejan2_80_choice,choice,street,,,,
scenejan2_81,normal,street,scenejan2_82_1_choice,,,
scenejan2_82,normal,street,,,,
scenejan2_82_choice,choice,street,,,,
scenejan2_821,normal,street,scenejan2_83_choice,,,
scenejan2_822,normal,street,scenejan2_83_choice,,,
scenejan2_823,normal,street,scenejan2_83_choice,,,
scenejan2_83_choice,choice,street,,,,
scenejan2_85,normal,street,,,,
scenejan2_86,normal,street,,,,
scenejan2_89,normal,street,scenejan2_55,,,
scenejan2_92,normal,street,scenejan2_94,,,
scenejan2_93,normal,street,,,,
scenejan2_94,normal,street,,,,
scenejan2_95,normal,street,,,,
scenejan2_95_choice,choice,street,,,,
scenejan2_96,normal,street,scenejan2_72_choice,,,
scenejan2_97,normal,street,scenejan2_72_choice,,,
scenejan2_98,normal,street,scenejan2_72_choice,,,
scenejan2_99,normal,street,scenejan2_55,,,
scenejan2_800,normal,ballroom,,,,
scenejan2_800_choice,choice,ballroom,,,,
scenejan2_57_choice,choice,street,,,,
scenejan2_57_runaway,normal,street,scenejan2_58,,,
scenejan2_57_refused,normal,street,scenejan2_58,,,
scenejan2_57_suggested,normal,street,scenejan2_58,,,
scenejan2_56_choice,choice,street,,,,
scenejan2_57_1,normal,street,,,,
scenejan2_821_1,normal,street,scenejan2_83_choice,,,
scenejan2_822_1,normal,street,scenejan2_83_choice,,,
scenejan2_823_1,normal,street,scenejan2_83_choice,,,
scenejan2_82_1_choice,choice,street,,,,
scenejan2_200,normal,house,,,,
scenejan2_200_choice,choice,house,,,,
scenejan2_300,normal,ballroom,,,,
scenejan2_300_choice,choice,ballroom,,,,
scenejan2_400,normal,ballroom,scenejan2_8,,,
scenejan2_skip,normal,house,,,,
scenefeb_logo,normal,house,scenefeb_ending,,,
scenefeb_lxgo,normal,house,scenefeb_ending,,,
scenefeb_lxgx,normal,house,scenefeb_ending,,,
scenefeb_ending,normal,house,,,TRUE,
ending,ending,house,,,,
liszt_ending,ending,house,,,,
mendelssohn_ending,ending,house,,,,
