씬ID(sceneId),대사순서(order),강조캐릭터(activeCharacters),말하는캐릭터(speaker),대사텍스트(text),명령어(command)
scene4_a,1,,narrator,당신이 샴페인을 향해서 손을 뻗는 순간 길고 가느다란 손가락이 한 발 빠르게 샴페인 잔을 가져간다.,
scene4_a,2,liszt,???,"아리따운 아가씨, 긴장을 술에 녹여보려는 건 알겠지만 페이스가 너무 빠르군요.",
scene4_a,3,,narrator,손의 주인을 확인하기 위해 고개를 든 당신은 금빛 빛줄기처럼 드리우는 긴 머리카락에 숨을 짧게 들이마신다.,
scene4_a,4,,narrator,눈이 부실 정도의 미남자였다. 마치 조각을 깎은 듯 완벽한 비율에 당신은 속으로 잠시 감탄했다. ,
scene4_a,5,,narrator,여유로운 움직임으로 샴페인 잔을 낚아챈 사내는 마찬가지로 여유로운 움직임으로 샴페인을 들이킨다.,
scene4_a_choice,1,liszt,???,이 긴 밤을 흘려보내고 싶지 않다면 술은 그만 하는 게 좋을 거예요. 이거 꽤 세거든.,
scene4_aa,1,,narrator,그때 검은 머리의 사내가 나타나 샴페인 잔을 가로챘던 금발의 남자를 뒤로 잡아끈다.,
scene4_aa,2,,narrator,금발의 남자보다 체구가 작음에도 그 잡아끄는 손길에 금발의 남자가 휘청이는 것으로 보아 힘이 상당해 보였다.,
scene4_aa,3,mendelssohn,???,"실례했습니다, 숙녀 분. 이 친구가 술이 들어가면 맨정신으로는 하지 않을 짓을 자꾸 합니다. 결례를 용서해 주시기를…",
scene4_aa,4,,narrator,흑발의 남자는 깍듯이 몸을 숙여 진심 어린 사과를 전한다.,
scene4_b,1,,narrator,너무 많은 사람을 만난 탓인지 어지러워진 당신은 셰즈 롱그 쪽으로 천천히 뒷걸음질을 치다가 누군가에게 부딪히고 만다.,
scene4_b,2,,narrator,"순간 균형을 잃고 넘어질 뻔했지만, 당신이 넘어지기 전에 당신이 부딪힌 남자가 당신의 팔을 잡아 준다.",
scene4_b,3,,narrator,허공에서 당신과 남자의 눈이 마주친다. 파리 근교에서는 자주 볼 수 없는 깊고 맑은 갈색 눈이었다.,
scene4_b,4,,narrator,"살짝 아래쪽으로 휘어진 눈꼬리에는 진심 어린 걱정이 담겨 있었고, 그 순수한 걱정에는 어딘가 소년 같은 구석이 있었다.",
scene4_b,5,mendelssohn,???,"괜찮으신가요? 실례했습니다, 제가 좀 더 주의를 기울였어야 하는데…",
scene4_bb,1,liszt,???,"미안합니다, 숙녀분. 아가씨의 아름다움에 이 백면서생조차도 넋을 놓고 있다가 아가씨에게 부딪힐 걸 깨닫지 못한 모양이네요.",
scene4_bb,2,,narrator,금발의 남자가 던지는 장난스러운 말에 당신이 부딪힌 검은 머리의 남자가 얼굴을 붉힌다.,
scene4_bb,3,mendelssohn,???,초면의 숙녀분께 이 무슨 무례인가요! 다시 한 번 정말 죄송합니다. 이 친구의 말까지 포함해서 대신 사과드립니다.,
scene4_bb,4,,narrator,검은 머리의 남자가 난처하다는 표정으로 미간을 살짝 좁혔다. 그 모습이 약간은 우스워 당신은 웃음을 간신히 참는다.,
scene5,1,,narrator,"금발 머리 남자가 다시 무어라 반박하려 들던 그 때, 시마노프스카 부인이 저 멀리 있던 조각가와의 대화를 마치고 다가온다.",
scene5,2,szymanowska,szymanowska,안 그래도 소개해주려고 했는데 보니까 벌써 만난 모양이구나?,
scene5,3,,narrator,시마노프스카 부인은 금발의 사내에게로 몸을 돌린다.,
scene5,4,szymanowska,szymanowska,"에투아르, 이쪽은 내 살롱에 자주 오던 친구 프란츠 리스트란다. 요즘은 파리에서 뜨고 있는 신예 피아니스트지.",
scene5,5,szymanowska,szymanowska,"리스트 씨, 이쪽은 내 피후견인인 에투아르 베시에르랍니다. 음악에 관심이 아주 많은 아이죠.",
scene5_choice,1,liszt,liszt,"만나서 반갑습니다, 아름다운 아가씨. 숙녀분의 손등에 입맞추는 영광을 제게 허락해 주시겠습니까?",
scene6,1,szymanowska,szymanowska,"리스트 씨, 부디 그대의 드높은 악명이 내 피후견인에게까지는 미치지 않기를 바랍니다.",
scene6,2,liszt,liszt,"걱정도 많으십니다, 부인. 제가 그리 경우 없는 사내는 아니니 걱정하지 마시기를.",
scene6,3,szymanowska,szymanowska,시마노프스카가 한숨을 내쉬었다.,
scene6,4,szymanowska,szymanowska,"…그리고 이쪽은 내 친구기도 한 괴테 선생께서 더없이 아끼시는 신동 작곡가, 펠릭스 멘델스존이란다.",
scene6,5,szymanowska,szymanowska,"멘델스존 씨, 이쪽은 앞서 말했듯 내 피후견인 에투아르 베시에르입니다. 예쁘게 봐 주시기를.",
scene6,6,mendelssohn,mendelssohn,"새로운 인연을 맺게 되어 기쁩니다, 베시에르 양. ",
scene6_choice,1,mendelssohn,mendelssohn,멘델스존은 가볍게 허리를 숙여서 인사했다.,
scene7,1,szymanowska,szymanowska,"마음에도 없는 칭찬은 그만해도 좋아요, 멘델스존 씨.",
scene7,2,szymanowska,szymanowska,두 사람은 오늘 혼자 왔나요?,
scene7,3,liszt,liszt,그런 셈이죠.,
scene7,4,mendelssohn,mendelssohn,굳이 따지자면 이 친구가 동행입니다. ,
scene7,5,szymanowska,szymanowska,그렇군요. 이왕이면 두 사람 다 근사한 신사들이니 모든 춤곡을 다 추기를 바라요.,
scene7_choice1,1,mendelssohn,mendelssohn,"물론입니다, 부인. 이렇게 기분 좋은 사람들이 모여 있는 곳에서 춤을 추지 않고 흘려보내는 건 아까운 일이 되겠죠.",
scene7_choice2,1,liszt,liszt,노력은 해보겠습니다만 파트너가 내게 발을 밟히지나 않으면 다행이겠네요.,
scene8,1,,narrator,리스트의 플러팅에 멘델스존이 옆에서 리스트를 날카롭게 쏘아보았다.,
scene8,2,mendelssohn,mendelssohn,리스트 씨.,
scene8,3,liszt,liszt,"왜, 난 진심인데.",
scene9,1,liszt,liszt,"그렇다면 베시에르 양, 아직 옆자리가 비어 있는 곡이 있다면 나랑 한 곡 어떠신가요?",
scene9,2,liszt,liszt,"제가 춤은 잘 추지 못하지만, 베시에르 양을 즐겁게 해 드릴 자신은 있답니다.",
scene9,3,mendelssohn,mendelssohn,"처음 만난 숙녀분께 너무 저돌적인 것 아닌가요, 리스트 씨?",
scene9,4,liszt,liszt,미인은 쟁취하는 자의 것인 법이지. 우리 멘델스존 씨께서는 가만히 지켜보고만 있을 생각이신가?,
scene9,5,mendelssohn,mendelssohn,그럴 리가요.,
scene9_choice,1,mendelssohn,mendelssohn,"베시에르 양, 한 자리가 더 비어 있다면 제게도 한 곡을 약속해 줄 수 있으실지 여쭙겠습니다.",
scene10_a,1,szymanowska,szymanowska,다시 생각해보렴. 나라면 좀 더 고민해보겠어.,
scene10_a,2,mendelssohn,mendelssohn,"아닙니다, 부인. 숙녀분께서 원치 않으시는데 부담을 드릴 수야 없는 노릇이죠.",
scene10_a,3,liszt,liszt,"예, 아쉽지만 물러날 때를 아는 것도 '신사의 도리' 아니겠습니까.",
scene10_a,4,mendelssohn,mendelssohn,그러면 저는 물러가 보도록 하겠습니다. 두 분 다 모쪼록 즐거운 저녁 시간 보내시기를.,
scene10_a,5,liszt,liszt,바쁜 숙녀분을 붙들어 두고 있을 수야 없는 노릇이겠죠. 즐거운 무도회 되시기를!,
scene10_a,6,,narrator,"가볍게 허리를 숙인 뒤, 리스트와 멘델스존은 각자의 지인들을 찾아 흩어졌다.",
scene10_b,1,liszt,liszt,그러면 첫 번째 왈츠는 제가. ,
scene10_b,2,mendelssohn,mendelssohn,저는 그 다음 곡을 추도록 하죠. ,
scene10_b,3,,narrator,리스트와 멘델스존이 차례로 당신의 댄스 카드에 이름을 적는다.,
scene10_c,1,,narrator,리스트와 멘델스존 둘 모두의 얼굴에 깜짝 놀란 기색이 스친다.,
scene10_c,2,,narrator,리스트의 얼굴은 약간 붉어지고 멘델스존의 얼굴은 하얗게 질린다.,
scene10_c,3,liszt,liszt,"하하하! 이거이거, 또 새로운 경험이네요.",
scene10_c,4,mendelssohn,mendelssohn,"베, 베시에르 양…",
scene10_c,5,,narrator,멘델스존은 좀처럼 어쩔 줄을 몰라 리스트와 당신을 번갈아 바라본다. ,
scene10_c_choice,1,szymanowska,szymanowska,"세상에, 에투아르… 빨리 리스트 씨께 사과드리렴!",
scene10_c_a,1,mendelssohn,mendelssohn,"리스트 씨, 어쩜 그렇게 천박한 소리를…!",
scene10_c_a,2,liszt,liszt,숙녀 분께서 나보다는 네가 더 취향이었던 모양이지. 빼지 말고 즐기고 와!,
scene10_c_a,3,,narrator,리스트는 호탕하게 웃으며 멘델스존의 등을 두드리지만 이미 굳어버린 멘델스존의 표정은 좀처럼 펴지지 않는다.,
scene10_c_b,1,liszt,liszt,"아니, 그쪽이 사과할 필요는 없어. 그럼 좋은 시간 보내기를.",
scene10_c_b,2,,narrator,리스트는 호탕하게 웃으며 멘델스존의 등을 두드리지만 이미 굳어버린 멘델스존의 표정은 좀처럼 펴지지 않는다.,
scene10_d,1,mendelssohn,mendelssohn,"운이 좋으시군요, 리스트 씨.",
scene10_d,2,liszt,liszt,말했다시피 용기 있는 자가 미인을 쟁취하는 법이니까.,
scene10_d,3,mendelssohn,mendelssohn,다음 번에는 제가 조금 더 발빠르게 빈자리를 채가도록 해 보겠습니다.,
scene10_d,4,,narrator,멘델스존은 미소를 지으며 고개를 살짝 숙인다. ,
scene11_a,1,,narrator,폴로네즈 음악이 저 멀리서 들려온다.,
scene11_a,2,,narrator,가장 신분이 높은 사람들부터가 위엄 있는 걸음으로 입장하고 뒤이어 짝을 지은 남녀 십수 쌍이 행진한다.,
scene11_a,3,,narrator,"가벼운 카드리유가 지나고, 첫 번째 왈츠 곡이 시작된다.",
scene11_b,1,,narrator,폴로네즈 음악이 저 멀리서 들려온다.,
scene11_b,2,,narrator,가장 신분이 높은 사람들부터가 위엄 있는 걸음으로 입장하고 뒤이어 짝을 지은 남녀 십수 쌍이 행진한다.,
scene11_b,3,,narrator,"가벼운 카드리유가 지나고, 첫 번째 왈츠 곡이 시작된다.",
scene11_c,1,,narrator,폴로네즈 음악이 저 멀리서 들려온다.,
scene11_c,2,,narrator,가장 신분이 높은 사람들부터가 위엄 있는 걸음으로 입장하고 뒤이어 짝을 지은 남녀 십수 쌍이 행진한다.,
scene11_c,3,,narrator,"가벼운 카드리유가 지나고, 첫 번째 왈츠 곡이 시작된다.",
scene11_d,1,,narrator,폴로네즈 음악이 저 멀리서 들려온다.,
scene11_d,2,,narrator,가장 신분이 높은 사람들부터가 위엄 있는 걸음으로 입장하고 뒤이어 짝을 지은 남녀 십수 쌍이 행진한다.,
scene11_d,3,,narrator,"가벼운 카드리유가 지나고, 첫 번째 왈츠 곡이 시작된다.",
scene12_a,1,,narrator,당신은 자리에 앉아서 십수 쌍의 커플이 왈츠를 추는 모습을 지켜본다.,
scene12_a,2,,narrator,"꽤 길게 느껴지는 20분이 지나고, 당신은 카드리유와 마주르카를 춘 뒤 잠깐 숨을 돌린다.",
scene12_a,3,,narrator,두 번째 왈츠가 시작할 차례였다.,
scene13_a,1,,narrator,당신은 자리에 앉아서 두 번째 왈츠를 추는 커플들을 지켜본다.,
scene12_b,1,,narrator,리스트가 당신의 손을 잡아끌고 무도회장의 가운데로 향한다.,
scene12_b,2,,narrator,"바이올린이 톨베크의 선율을 연주했고, 플로어 위 수십 쌍의 남녀가 한꺼번에 움직이기 시작했다.",
scene12_b,3,liszt,liszt,톨베크라니! 주최자의 취향도 참 알만하네요.,
scene12_b_choice,1,liszt,liszt,흔해빠진 똑같은 선율밖에 없는 무도회장은 정말 신물이 나요.,
scene12_b_a_choice,1,liszt,liszt,"그리고, 확실한 의견을 갖고 있다는 건 좋은 일 아닌가요?",
scene12_b_a_a,1,liszt,liszt,"조심도 좋지만, 조심하다가 스스로를 잃는 일이 있어서는 안 된다고 생각하거든요. ",
scene12_b_a_b,1,liszt,liszt,하지만 그렇게 자기 의견이 없어서야 삶에 어떤 의미가 있겠습니까.,
scene13_b_a,1,liszt,liszt,인간은 무엇인가를 향해서 나아갈 때 가장 아름다운 법 아니겠어요?,
scene12_b_b,1,,narrator,리스트는 당신의 말이 마음에 든다는 듯 크게 웃었다.,
scene14_b,1,liszt,liszt,"나는 인간도, 예술도 다른 모든 것과 마찬가지로 계속해서 앞으로 나아가야 하는 것이라 봅니다.",
scene14_b_choice,1,liszt,liszt,발전이 없다면 그것은 무엇이든간에 죽은 것이나 다름없죠. ,
scene14_b_a,1,liszt,liszt,"물론 그 과정에서 이런 저런 시행착오들이 있었지만, 궁극적으로는 나아가야 하는 하나의 방향이 있을 겁니다.",
scene15_b_choice,1,liszt,liszt,혹시 메닐몽탕의 반항아들에 관심이 있으신가요?,
scene15_b_a_choice,1,liszt,liszt,베시에르 양께서는 예술은 어떤 역할을 수행해야 한다고 생각하시나요?,
scene16_b_a,1,liszt,liszt,결국 예술이라는 건 '미래' 를 향해야 합니다. 어떤 의미에서는 우리의 현실이 도달하지 못한 이상을 향해야 하죠.,
scene16_b_a,2,liszt,liszt,그런 의미에서 나와 같은 예술가들은 미래를 향해 미리 달려가고 있는 선구자들이 되어야만 합니다.,
scene16_b_a,3,liszt,liszt,"뭐, 그렇게 거창하게 이야기를 한다고 해도 아직은 나 또한 대중 앞에서 연주하는 원숭이에 지나지 않지만 말이죠.",
scene16_b_a,4,,narrator,그렇게 말하는 리스트의 얼굴에는 일순 씁쓸한 기색이 스쳤다.,
scene16_b_a_choice,1,,narrator,그 화려한 얼굴에 스친 무력감과 고독은 위태로운 분위기를 자아내며 시선을 더욱 강하게 잡아끌었다.,
scene16_b_a_a,1,liszt,liszt,"그렇게 된다면 정말 좋겠죠. 하지만 대중의 인정이 그렇게 의미가 있을지… 흠, 잘 모르겠습니다.",
scene16_b_a_c,1,liszt,liszt,고마워요. 그런 말은 처음 들어보네요. ,
scene17_b,1,,narrator,리스트는 약간 어색해진 분위기를 느낀 것인지 과장되게 활기찬 미소를 지으며 어느새 당신의 허리 아래쪽으로 향해 있던 손을 제대로 된 자리로 고친다.,
scene17_b,2,liszt,liszt,이런 이야기는 그만하도록 하죠! 오늘의 경쾌한 분위기에 어울리는 주제는 아니었던 것 같네요.,
scene17_b,3,liszt,liszt,베시에르 양께서는 시마노프스카 부인의 피후견인이라고 하셨죠? ,
scene17_b,4,,me,"네, 그렇죠.",
scene17_b,5,liszt,liszt,"시마노프스카 부인께서도 걱정이 많으시겠더군요, 러시아에서 오래 일하긴 하셨지만 어쨌든 고국은 폴란드니 말이죠.",
scene17_b,6,,me,걱정을 하지 않기는 어려운 상황이죠. 사태가 장기화되지 않기만을 바랄 뿐입니다.,
scene17_b_choice,1,liszt,liszt,"프랑스 내에서도 이번 봉기에 대해 의견이 분분한 것 같던데, 베시에르 양은 이번 봉기에 대해 어떻게 생각하시나요?",
scene17_b_b,1,liszt,liszt,"비록 그곳에 많은 추억이 있다고는 할 수 없지만, 저 또한 헝가리 사람으로서 약소국 국민으로 산다는 것에 대해 고민을 하거든요.",
scene17_b_c,1,liszt,liszt,동의합니다. 어떤 상황에서든 평화적인 해결책이 최우선되어야 인류의 화합이 한 발짝 더 가까워질 테니까요.,
scene17_b_c,2,liszt,liszt,결국에 가장 낮은 곳에서부터 실천하는 차별 없는 사랑이 세계 모든 인류의 행복을 위한 해답이 아닐까 싶습니다. ,
scene18_b,1,liszt,liszt,모쪼록 이곳에 추방되다시피 와 있는 많은 폴란드 사람들이 빠른 시일 내로 고국으로 돌아갈 수 있으면 좋겠네요.,
scene18_b,2,liszt,liszt,모국에서 벗어나 살아가는 감각은 생각보다 유쾌하지 않으니까요. ,
scene18_b,3,,narrator,리스트는 곳곳에 보이는 흰 드레스에 붉은 장식을 단 여자들을 곁눈질로 살펴보았다.,
scene18_b,4,liszt,liszt,"아, 물론 프랑스에서 사는 게 힘들다든가 하는 이야기는 아닙니다! 파리는 반쯤 내 고향이나 다름없으니까요.",
scene18_b,5,,me,확실히 파리에서 산 기간으로만 따지자면 리스트 씨가 저보다 더 파리지앵에 가까우실지도 모르겠네요.,
scene18_b,6,liszt,liszt,그렇게 되는군요. 파리의 맛집이나 책방이라면 속속들이 알고 있으니 언제든 편하게 물어봐 주시기를.,
scene18_b,7,,narrator,리스트는 그렇게 말하며 시원시원하게 걸음을 옮겼다.,
scene18_b,8,,narrator,"그의 움직임은 아주 우아하거나 유려한 것은 아니었지만, 자신감과 대담함이 배어 있었다.",
scene18_b,9,,narrator,"큰 키 덕분일까, 하나하나의 움직임이 눈에 잘 들어왔다.",
scene18_b,10,,narrator,때때로 동작을 틀릴 때조차 가볍고 경쾌한 사과와 화려한 미소 덕에 정신이 팔려 조금도 불쾌한 느낌이 들지 않았다.,
scene18_b,11,,narrator,"반 바퀴를 돌기 위해 걸음을 옮기던 중, 스텝이 꼬여 리스트가 당신의 발을 밟는다.",
scene18_b,12,liszt,liszt,"이런, 미안해요. 밟을 곳도 없는 작은 발을 밟고 나니 마음이 좋지 않네요.",
scene18_b,13,,me,괜… 괜찮아요. ,
scene18_b,14,liszt,liszt,형편없는 파트너라서 미안합니다. 평소에는 저기서 피아노를 치는 역할을 맡다가 춤을 추려 하니 잘 안 되네요.,
scene18_b,15,,narrator,리스트는 멋쩍게 웃으며 신발자국이 살짝 남은 당신의 발을 내려다보았다.,
scene18_b,16,,me,정말 괜찮아요. 더 형편없는 파트너도 많이 만나봤습니다.,
scene18_b,17,liszt,liszt,아예 다음번에 돌 때는 스텝이 꼬일 일이 없도록 해볼까요?,
scene18_b,18,,me,어떻게 할 계획이신가요?,
scene18_b,19,liszt,liszt,그건 비밀.,
scene18_b,20,,narrator,"리스트는 한쪽 눈을 찡긋해 보이고, 당신은 승낙의 뜻으로 고개를 살짝 끄덕인다.",
scene18_b,21,,narrator,"다시 한 번 턴을 할 순간이 됐을 때, 당신의 몸이 갑자기 공중으로 붕 떠오른다.",
scene18_b,22,,narrator,리스트가 당신을 땅에서 몇 피트 정도 들어올리며 턴을 한 것이었다.,
scene18_b,23,,narrator,동화에서나 나올 법한 극적인 연출에 당신과 리스트에게로 시선이 집중된다. 조금 민망했지만 나쁜 기분은 아니었다.,
scene18_b,24,,narrator,순간 공중에서 내려다본 리스트는 무엇인가 자신을 붙들어매던 것에서 자유로워진 것처럼 즐거운 표정을 짓고 있었다.,
scene18_b,25,,narrator,찰랑거리며 사방으로 흩어지는 금빛 머리카락과 그의 조각처럼 아름다운 얼굴에 피어난 해맑은 미소에 당신 또한 민망함을 잠시 잊는다.,
scene18_b,26,liszt,liszt,"어때요, 이러면 발은 안 밟겠죠?",
scene18_b,27,,me,이게 뭐예요. 매번 이렇게 들어올릴 수도 없잖아요.,
scene18_b,28,liszt,liszt,가끔 박자를 놓칠 것 같을 때 한두번 정도는 써먹을 수 있겠죠.,
scene18_b,29,,narrator,당신은 어이없어하면서 웃었다.,
scene18_b,30,,narrator,"당신과 리스트는 정치, 종교, 사회 문제와 예술에 관한 이야기를 나누며 왈츠를 이어갔다.",
scene18_b,31,,narrator,리스트는 말이 많았고 그의 말은 약간은 장황했다. 하지만 그런 이상론을 듣는 것도 꽤 흥미로운 일이었다.,
scene18_b,32,,narrator,"이따금씩 당신은 리스트의 발을, 리스트는 당신의 발을 밟았지만 몇 번쯤 사과가 반복되다 보니 그것조차도 웃음만을 자아냈다.",
scene18_b_choice,1,,narrator,"이내 음악이 천천히 잦아들고, 당신과 리스트는 춤을 마무리할 준비를 한다.",
scene19_b_a,1,,me,원래 이렇게 모든 사람들에게 가벼운 농담을 던지시나요? 오해를 살 수도 있으니 주의하시는 게 좋아요.,
scene19_b_a,2,liszt,liszt,"파리가 아니라면 어떤 곳에서 이런 농담을 던져보겠나요. 그리고 또 모르는 일이죠, 농담이 아닐지?",
scene19_b_a,3,,narrator,리스트는 당신에게 한쪽 눈을 찡긋했다. 당신은 그런 리스트에게 가볍게 눈을 흘겼다. ,
scene19_b_b,1,,me,"최악의 파트너는 아니었다지만, 최고의 파트너였다고도 결코 말 못하겠네요.",
scene19_b_b,2,,me,저는 꽤나 기준이 높은 여자랍니다. 춤으로 저를 유혹하고 싶으시다면 조금은 더 연습을 해오셔야겠어요.,
scene19_b_b,3,liszt,liszt,"흐음, 이거 쉽지 않네요. 알겠습니다. 다음 번에는 베시에르 양을 만족시킬 수 있을 만한 훌륭한 춤꾼이 되어 오도록 하죠.",
scene19_b_b,4,,me,그 유혹하는 농담들을 갈고닦는 시간의 반만 왈츠 추는 데 투자해도 금세 훌륭한 춤꾼이 되실 거예요.,
scene20_b,1,liszt,liszt,유쾌도 하셔라. 방금의 말씀은 제게 또 한 번의 춤을 약속하셨다는 뜻으로 알아듣겠습니다.,
scene20_b,2,,me,좋으실 대로. ,
scene20_b,3,,narrator,"곡이 마무리되고, 박수가 터져나온다. 플로어 위의 커플은 서로 허리를 숙여 예를 표한다.",
scene20_b,4,,narrator,"리스트 또한 허리를 숙이고, 당신도 무릎인사로 답례한다.",
scene20_b,5,,narrator,당신은 리스트의 에스코트를 받아 카드 테이블 근처 무도회장의 가장자리로 향한다.,
scene20_b,6,liszt,liszt,"즐거웠어요, 베시에르 양. 다음 곡도 즐겁게 즐기시기를.",
scene20_b,7,,me,마찬가지입니다. 리스트 씨도 즐거운 무도회 되시기를.,
scene20_b,8,,narrator,당신은 부채질을 하며 방금 전의 일을 되새겨 본다.,
scene20_b,9,,narrator,무도회장 저편에서 방금 전의 파트너를 의자까지 안내하는 멘델스존이 얼핏 보인다.,
scene20_b,10,,narrator,당신은 발끝을 오므렸다가 펴 본다. 한 곡을 추고 돌아온 시마노프스카가 옆자리에 앉는다.,
scene20_b_choice,1,szymanowska,szymanowska,춤추는 건 오랜만이었지? 어땠니?,
scene20_b_a,1,,narrator,다음 번에 만나면 한 곡을 더 출 생각도 있었다. 춤을 잘 추는지와는 별개로 같이 있으면 신이 났다.,
scene21_b,1,,narrator,당신의 답을 들은 시마노프스카가 고개를 천천히 끄덕인다. ,
scene21_b,2,szymanowska,szymanowska,그렇구나. 리스트가 워낙에 소문이 많아서 이상한 짓이라도 했을까 봐 걱정을 좀 했는데 그런 건 아니라니 다행이네.,
scene21_b,3,szymanowska,szymanowska,좀 가벼운 느낌이 있지만 나쁜 애는 아니긴 하지. ,
scene21_b,4,,narrator,"잠깐의 쉬는시간이 지나고, 당신은 카드리유와 마주르카를 춘 뒤 숨을 고른다.",
scene21_b,5,,narrator,두 번째 왈츠가 시작할 차례였다.,
scene12_c,1,,narrator,리스트가 당신의 손을 잡아끌고 무도회장의 가운데로 향한다.,
scene12_c,2,,narrator,"바이올린이 톨베크의 선율을 연주했고, 플로어 위 수십 쌍의 남녀가 한꺼번에 움직이기 시작했다.",
scene12_c,3,liszt,liszt,톨베크라니! 주최자의 취향도 참 알만하네요.,
scene12_c_choice,1,liszt,liszt,흔해빠진 똑같은 선율밖에 없는 무도회장은 정말 신물이 나요.,
scene12_c_a_choice,1,liszt,liszt,"그리고, 확실한 의견을 갖고 있다는 건 좋은 일 아닌가요?",
scene12_c_a_a,1,liszt,liszt,"조심도 좋지만, 조심하다가 스스로를 잃는 일이 있어서는 안 된다고 생각하거든요. ",
scene12_c_a_b,1,liszt,liszt,하지만 그렇게 자기 의견이 없어서야 삶에 어떤 의미가 있겠습니까.,
scene13_c_a,1,liszt,liszt,인간은 무엇인가를 향해서 나아갈 때 가장 아름다운 법 아니겠어요?,
scene12_c_b,1,,narrator,리스트는 당신의 말이 마음에 든다는 듯 크게 웃었다.,
scene14_c,1,liszt,liszt,"나는 인간도, 예술도 다른 모든 것과 마찬가지로 계속해서 앞으로 나아가야 하는 것이라 봅니다.",
scene14_c_choice,1,liszt,liszt,발전이 없다면 그것은 무엇이든간에 죽은 것이나 다름없죠. ,
scene14_c_a,1,liszt,liszt,"물론 그 과정에서 이런 저런 시행착오들이 있었지만, 궁극적으로는 나아가야 하는 하나의 방향이 있을 겁니다.",
scene15_c_choice,1,liszt,liszt,혹시 메닐몽탕의 반항아들에 관심이 있으신가요?,
scene15_c_a_choice,1,liszt,liszt,베시에르 양께서는 예술은 어떤 역할을 수행해야 한다고 생각하시나요?,
